AKAP5|9495_calculated
C7orf44|55744_calculated
PDS5B|23047_calculated
G2E3|55632_calculated
NAA16|79612_calculated
RUFY2|55680_calculated
METTL10|399818_calculated
C2orf86|51057_calculated
RCOR3|55758_calculated
C3orf49|132200_calculated
TRIM23|373_calculated
SUV420H1|51111_calculated
ZNF383|163087_calculated
KLHL20|27252_calculated
METTL14|57721_calculated
C7orf64|84060_calculated
GPBP1|65056_calculated
RPS6KB1|6198_calculated
PAPD4|167153_calculated
CENPC1|1060_calculated
PHC3|80012_calculated
C9orf102|375748_calculated
FNDC3A|22862_calculated
ZC3H11A|9877_calculated
GCFC1|94104_calculated
FRA10AC1|118924_calculated
TRDMT1|1787_calculated
GNPDA2|132789_calculated
PIBF1|10464_calculated
OTUD6B|51633_calculated
SR140|23350_calculated
ZBED5|58486_calculated
ANKRD49|54851_calculated
LOC220729|220729_calculated
LOC440944|440944_calculated
CCDC39|339829_calculated
AGBL3|340351_calculated
TRIM5|85363_calculated
TRIM78P|117852_calculated
LOC642852|642852|2of2_calculated
?|222521_calculated
MTIF3|219402_calculated
LOC100101266|100101266_calculated
ATP6AP1L|92270_calculated
ZNF480|147657_calculated
ZNF260|339324_calculated
ZNF543|125919_calculated
ZMYM1|79830_calculated
C1orf107|27042_calculated
ZNF181|339318_calculated
ZNF197|10168_calculated
ZNF525|170958_calculated
ZNF765|91661_calculated
ZNF813|126017_calculated
ZNF701|55762_calculated
C1orf192|257177_calculated
ZNF546|339327_calculated
ZNF189|7743_calculated
ZNF302|55900_calculated
ZNF137P|7696_calculated
SH3YL1|26751_calculated
SYNJ2BP|55333_calculated
CCR6|1235_calculated
S100PBP|64766_calculated
ZKSCAN3|80317_calculated
TBCK|93627_calculated
TIA1|7072_calculated
ZNF248|57209_calculated
CCDC76|54482_calculated
HELB|92797_calculated
PHACTR2|9749_calculated
ROD1|9991_calculated
GTF2A1|2957_calculated
PTPLB|201562_calculated
HERC6|55008_calculated
IFIH1|64135_calculated
EIF2AK2|5610_calculated
TCF12|6938_calculated
ATP11C|286410_calculated
BBX|56987_calculated
SOS1|6654_calculated
SP4|6671_calculated
CAPS2|84698_calculated
GLIPR1L1|256710_calculated
RAB39B|116442_calculated
MKL2|57496_calculated
RAB9B|51209_calculated
CROT|54677_calculated
PRMT10|90826_calculated
ELP2|55250_calculated
GTF3C4|9329_calculated
TRIM37|4591_calculated
PAQR3|152559_calculated
PRRC1|133619_calculated
XPO1|7514_calculated
CTDSPL2|51496_calculated
SLC35A3|23443_calculated
OTUD4|54726_calculated
UBA6|55236_calculated
XPO4|64328_calculated
PUM2|23369_calculated
PTPN11|5781_calculated
FYTTD1|84248_calculated
PDS5A|23244_calculated
LUZP1|7798_calculated
ABL2|27_calculated
DIP2B|57609_calculated
MBTPS2|51360|1of2_calculated
YY2|404281_calculated
SOCS7|30837_calculated
NFYA|4800_calculated
TIGD2|166815_calculated
PEX12|5193_calculated
